ï»¿dummy        {'LANG:FI', 'dummy'}
sti             {'-SPEC:FORCE', '!COMP:A', '-SPEC:T/fin', 'SPEC:*', 'LANG:FI', '-SPEC:Neg/fin', 'PF:sti', 'ADV', '-SPEC:N', 'adjoinable', '-ARG', 'LF:by'}
sukkaa          ['LANG:FI']
sukan           ['LANG:FI']
sukat           ['LANG:FI']
sukka-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'PF:sukka-', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'LF:socks', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
talo            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'LF:house', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', 'PF:talo'}
tama            ['LANG:FI']
tama-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', 'PF:tama', '-COMP:D', 'LANG:FI', 'COMP:uR', 'PHI', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'LF:this', 'COMP:P', '-COMP:ADV'}
tassa           ['LANG:FI']
taytyy          ['LANG:FI']
taydy           ['LANG:FI']
tayty-          {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-ASP', '-SPEC:T/fin', 'SPEC:*', 'PHI:NUM:_', 'MODAL', 'SPEC:ADV', 'PF:taytyy', 'ARG', 'SPEC:TO/inf', 'COMP:P', '!COMP:A/inf', 'LANG:FI', '-VAL', 'V', '-COMP:V', 'FIN', 'LF:must', 'PHI:PER:_'}
teki            ['LANG:FI']
teke-           {'-COMP:v', 'LF:make', '-SPEC:FORCE', 'PF:teke', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', '!COMP:D', 'PHI:NUM:_', '-COMP:A/inf', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
that            {'LANG:EN', 'PF:that', '!PROBE:T/fin', 'FORCE', 'COMP:C/fin', '-VAL', '-SPEC:*', '!COMP:*', 'LF:that', 'COMP:T/fin', 'FIN', '-ARG'}
the             {'!PROBE:N', '-COMP:T/fin', '-SPEC:V', '-SPEC:C', 'LANG:EN', '-SPEC:T/fin', '-SPEC:MA/lla', 'OP', '-SPEC:Neg/fin', '-SPEC:N', 'adjoinable', 'D', '-ARG', '-SPEC:INF', '-SPEC:P', '-SPEC:D', 'LF:the', '-COMP:D', '!COMP:*', 'COMP:N', 'PF:the', '-COMP:uR', 'PHI:DEF:DEF'}
to              {'-SPEC:FORCE', '-SPEC:V', 'TAIL:V,+SEM:directional', '-COMP:N', '-SPEC:C', 'LANG:EN', '-COMP:T/fin', '-SPEC:T/fin', '-SPEC:ADV', 'PHI:DET:_', 'PHI:GEN:_', '-SPEC:*', '-SPEC:Neg/fin', 'adjoinable', '!COMP:D', '-SPEC:C/fin', '-SPEC:N', 'PHI:NUM:_', '-SPEC:iWH', 'LF:to', 'ARG', '-SPEC:iR', '+SEM:directional', '-COMP:uWH', '-SPEC:P', 'P', '-VAL', '!COMP:*', '-SPEC:INF', 'PF:to', '-SPEC:v', 'PHI:PER:_', '-COMP:ADV'}
to_inf          {'LF:TO/inf', 'PF:TO/inf', 'LANG:EN', 'SPEC:*', 'TO/inf'}
towards         {'-SPEC:FORCE', '-SPEC:V', '-COMP:N', '-SPEC:C', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'PHI:DET:_', 'PHI:GEN:_', '-SPEC:*', '-SPEC:Neg/fin', 'adjoinable', '!COMP:D', '-SPEC:C/fin', 'PF:towards', '-SPEC:N', '-SPEC:iWH', 'PHI:NUM:_', 'ARG', '-SPEC:iR', '-COMP:uWH', '-SPEC:P', 'P', '-VAL', '!COMP:*', 'TAIL:V', '-SPEC:INF', '-SPEC:v', 'LF:towards', 'PHI:PER:_', '-COMP:ADV'}
tonaisi         ['LANG:FI']
tonaista        ['LANG:FI']
tonaise-        {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'PHI:NUM:_', 'ASP', 'PF:tonaise', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LANG:FI', 'LF:nudge', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
tta             {'-SPEC:FORCE', '-SPEC:V', '-COMP:N', '-SPEC:C', '-COMP:T/fin', 'COMP:n/MA', '-SPEC:ADV', '-SPEC:T/fin', 'PHI:DET:_', 'SPEC:*', 'PF:tta', '-SPEC:Neg/fin', 'adjoinable', '!COMP:D', '-SPEC:C/fin', '-SPEC:N', 'PHI:NUM:_', '-SPEC:iWH', 'LF:without', 'ARG', '-SPEC:iR', '-COMP:uWH', '-SPEC:P', 'P', 'LANG:FI', '-VAL', '!COMP:*', 'ADV', '-SPEC:INF', '-SPEC:v', 'PHI:PER:_', '-COMP:ADV'}
tries           ['LANG:EN']
try-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', '!COMP:-ARG', 'ASP', 'SEM:internal', 'SPEC:ADV', '!COMP:TO/inf', 'ARG', 'SPEC:TO/inf', 'PF:try', '-VAL', 'V', 'LF:try', '-COMP:V', 'COMP:P', 'PHI:PER:_'}
verifiche       {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', 'LF:verification', '-SPEC:T/fin', 'COMP:R/D', 'PF:verifiche', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'LANG:IT', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
virtaamalla     ['LANG:FI']
virtaa          ['LANG:FI']
virta-          {'-COMP:v', '-SPEC:FORCE', 'LF:flow', '-COMP:N', '!COMP:P', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'SPEC:D', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'COMP:P', '-COMP:D', 'LANG:FI', '-VAL', 'V', '-COMP:V', 'PF:virtaa', 'PHI:PER:_'}
voluto          ['LANG:IT']
vuole           ['LANG:IT']
volu-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', '-SPEC:*', 'PHI:NUM:_', 'ASP', 'SEM:internal', 'LF:want', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'PHI:PER:_', 'LANG:FI', '-VAL', '!COMP:*', 'V', '-COMP:V', 'COMP:P', 'PF:volu'}
voitti          ['LANG:FI']
voittanut       ['LANG:FI']
voittaa         ['LANG:FI']
voitta-         {'-COMP:v', 'SEM:achievement', '-SPEC:FORCE', '-COMP:N', 'ASP:BOUNDED', 'SPEC:P', 'PHI:DET:_', '-COMP:T', '-SPEC:T/fin', 'LF:win', 'PF:voitta', 'PHI:NUM:_', 'ASP', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'LANG:FI', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
wants           ['LANG:EN']
want-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'COMP:TO/inf', 'PHI:NUM:_', 'ASP', 'LF:want', 'SPEC:ADV', 'PF:want', 'ARG', 'SPEC:TO/inf', '-VAL', 'CLASS:TR', 'V', '!COMP:*', '-COMP:V', '-COMP:P', 'COMP:P', 'PHI:PER:_'}
what            ['LANG:EN']
what-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LF:what', '-COMP:WH', 'SPEC:A', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', 'PF:what', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
which           {'!PROBE:N', '-COMP:T/fin', '-SPEC:V', '-SPEC:C', 'LANG:EN', '-SPEC:T/fin', 'PF:which', '-SPEC:MA/lla', 'LF:which', 'OP', '-SPEC:Neg/fin', '-SPEC:N', 'adjoinable', 'D', 'OP:WH', '-ARG', '-SPEC:P', '-SPEC:D', '-COMP:D', '!COMP:*', 'COMP:N', '-COMP:uR', '-SPEC:INF'}
who             ['LANG:EN']
who-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:who', 'PF:who', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
whether         {'LANG:EN', 'OP', '!PROBE:T/fin', '-SPEC:*', 'OP:WH', '-ARG', 'PF:whether', 'LF:whether', 'FORCE', 'COMP:C/fin', '-VAL', '!COMP:*', 'Q', 'OP:Q', 'COMP:T/fin', 'FIN'}
yrittaa         ['LANG:FI']
yritta-         {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'SPEC:P', 'PHI:DET:_', 'LANG:EN', '-COMP:T', '-SPEC:T/fin', 'PHI:GEN:_', 'SPEC:D', 'PHI:NUM:_', '!COMP:-ARG', 'ASP', 'SEM:internal', 'SPEC:ADV', 'ARG', 'SPEC:TO/inf', 'COMP:P', '!COMP:A/inf', '-VAL', 'V', 'LF:try', '-COMP:V', 'PF:yritta', 'PHI:PER:_'}
mina            ['LANG:FI']
mina-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:I', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'PF:mina', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
sina            ['LANG:FI']
sina-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', 'PF:sina', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LF:you', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
han             ['LANG:FI']
han-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'PF:han', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', 'LF:s/he', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
hanet           ['LANG:FI']
me              ['LANG:FI']
me-             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:we', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', 'PF:me', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
te              ['LANG:FI']
te-             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LF:you', 'PF:te', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
he_FI           ['LANG:FI']
heidan          ['LANG:FI']
he-             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', 'LF:they', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LANG:FI', 'COMP:uR', 'PF:he', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
he-             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'LF:he', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', 'PF:he', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
se              ['LANG:FI']
se-             {'!PROBE:N', '-COMP:T/fin', '-SPEC:V', 'PF:se', '-SPEC:C', '-SPEC:T/fin', '-SPEC:MA/lla', 'OP', '-SPEC:Neg/fin', '-SPEC:N', 'adjoinable', 'D', '-ARG', 'LF:it/that', '-SPEC:P', '-SPEC:D', '-COMP:D', 'LANG:FI', '!COMP:*', 'COMP:N', '-COMP:uR', '-SPEC:INF'}
I               ['LANG:FI']
I-              {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:I', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'PF:I', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
you             ['LANG:FI']
you-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', 'PF:you', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LF:you', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
he              ['LANG:FI']
she             ['LANG:FI']
she-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'PF:she', 'LF:she', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
we              ['LANG:FI']
we-             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:we', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', '-SPEC:INF', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', 'PF:we', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
you_pl          ['LANG:FI']
you_pl-         {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:you_pl', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', 'PF:you_pl', '-COMP:D', 'COMP:uR', 'PHI', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV'}
they            ['LANG:FI']
they-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', 'LF:they', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'PF:they', '-COMP:WH', 'SPEC:A', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
it              ['LANG:EN']
it-             {'!PROBE:N', '-COMP:T/fin', '-SPEC:V', '-SPEC:C', 'LANG:EN', '-SPEC:T/fin', '-SPEC:MA/lla', 'OP', '-SPEC:Neg/fin', '-SPEC:N', 'adjoinable', 'D', '-ARG', 'LF:it/that', '-SPEC:P', '-SPEC:D', 'PF:it', '-COMP:D', '!COMP:*', 'COMP:N', '-COMP:uR', '-SPEC:INF'}
io              ['LANG:FI']
io-             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', 'PF:io', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:I', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LANG:IT', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
tu              ['LANG:FI']
tu-             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LANG:IT', 'LF:you', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', 'PF:tu', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
lui             ['LANG:FI']
lui-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'LF:he', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LANG:IT', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', 'PF:lui', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
lei             ['LANG:FI']
lei-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LF:she', '-SPEC:INF', 'LANG:IT', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', 'PF:lei', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
noi             ['LANG:FI']
noi-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:we', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:ADV', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LANG:IT', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', 'PF:noi', '-COMP:*'}
voi             ['LANG:FI']
voi-            {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:you_pl', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LANG:IT', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', 'PF:voi', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
loro            ['LANG:EN']
loro-           {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', '-SPEC:N', '-SPEC:C/fin', 'LF:they', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LANG:IT', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'PF:loro', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
mi              ['LANG:FI']
mi-             {'-COMP:N', 'PF:mi(cl)', 'N', '-SPEC:V', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', 'PHI_N', 'CL', 'LANG:IT', '-COMP:WH', '-COMP:V', 'COMP:P', '-COMP:*', '-COMP:v', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-SPEC:R', '-SPEC:P', '-COMP:D', 'LF:me', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:ADV'}
la              ['LANG:FI']
la-             {'-COMP:N', 'N', '-SPEC:V', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', 'PHI_N', 'CL', 'LANG:IT', '-COMP:WH', 'LF:her', '-COMP:V', 'COMP:P', '-COMP:*', '-COMP:v', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PF:la(cl)', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:ADV'}
lo              ['LANG:FI']
lo-             {'-COMP:N', 'N', '-SPEC:V', '-SPEC:T/fin', 'COMP:R/D', 'COMP:R', 'PHI_N', '-SPEC:INF', 'CL', 'LANG:IT', 'PF:lo(cl)', '-COMP:WH', '-COMP:V', 'COMP:P', '-COMP:*', '-COMP:v', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', 'LF:him', '-COMP:ADV'}
si              ['LANG:FI']
si-             {'-COMP:N', 'N', '-SPEC:V', '-SPEC:T/fin', 'COMP:R/D', 'LF:3sg', 'COMP:R', 'PF:si(cl)', 'PHI_N', 'LANG:IT', '-COMP:WH', '-COMP:V', 'COMP:P', '-COMP:*', '-COMP:v', '-SPEC:FORCE', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'CAL:CL', '-COMP:C/fin', '-SPEC:uWH', 'SPEC:A', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:ADV'}
gli             ['LANG:FI']
gli             ['LANG:FI']
ci              ['LANG:FI']
ci-             {'-COMP:v', '-SPEC:FORCE', '-COMP:N', 'N', '-SPEC:V', '-COMP:T/fin', '-SPEC:ADV', '-SPEC:T/fin', 'COMP:R/D', 'LF:there', 'COMP:R', 'PF:ci', '-SPEC:N', '-SPEC:C/fin', '-COMP:A', 'PHI_N', '-COMP:C/fin', '-SPEC:uWH', 'LANG:IT', 'SPEC:A', '-COMP:WH', '-SPEC:R', '-SPEC:P', '-COMP:D', 'COMP:uR', '-COMP:AUX', '-SPEC:INF', '-COMP:V', 'COMP:P', '-COMP:ADV', '-COMP:*'}
[-n]            {'PHI:DET:DEF', 'PHI:HUM:HUM', 'PHI', 'PHI:PER:1', 'inflectional', 'PHI:NUM:SG', 'LANG:FI'}
